driverId,name,ssn,location,certified,wage-plan
10,Thomas James,421-04-0659,"USS Booker
FPO AA 19818",Y,miles
11,Corey Wood,678-38-4723,"4212 Jessica Rest Apt. 260
East Thomas, WY 22489",N,miles
12,Renee Hebert,362-76-6897,"4147 Hannah Roads Suite 739
North Christopher, IN 70131",N,miles
13,Andrew Delgado,474-79-6865,"USNV Pierce
FPO AA 78040",N,hours
14,Abigail Johnson,005-78-2100,"19994 Berry Haven
North Caitlynmouth, ME 24883",Y,hours
15,Henry Lambert,583-56-0794,"5254 Campbell Coves Suite 956
Port Amy, AL 24150",N,miles
16,Connie Johnson,352-95-1684,"3543 Holly Skyway Suite 016
West Susanside, IA 08999",N,hours
17,Sharon Strickland,712-93-8101,"Unit 8123 Box 5602
DPO AP 30329",N,miles
18,Ryan Lee,057-52-1864,"86296 Singh Island
Franciscofort, ME 44755",N,miles
19,Michelle Coleman,503-27-9281,"535 Michael Hills
Davidport, IA 20007",N,miles
20,Curtis Knapp,113-14-0434,"99214 Monica Shoal
Mccannview, ID 98050",Y,hours
21,Rachel Cook,451-53-2219,"045 Michael Via
North Sarah, MH 47368",N,miles
22,Hannah Ashley,316-32-3609,"06718 Anne Station Apt. 473
Thomasshire, MD 15634",Y,miles
23,Judy Fields,512-20-4519,"501 Pace Plains
Hobbsburgh, MO 39819",N,miles
24,William Hunter,893-20-1729,"5560 Robert Causeway
Murphyland, PR 61273",Y,miles
25,Alexis White,709-37-1178,"095 Cole Cliffs
Smithbury, WI 26031",N,miles
26,Karen Graves,190-70-1190,"916 Connie Divide
New Cindy, GA 34810",N,miles
27,Gabriel Campbell DVM,390-40-2221,"944 Jack Stream
Porterchester, MS 21655",Y,hours
28,Tammy Williams,451-53-8551,"4691 Amy Common Apt. 796
Kimberlyport, DC 62299",N,miles
29,Jeffrey Kent,524-55-0573,"19044 Mathis Streets Apt. 204
North Carrieborough, PA 20718",N,hours
30,Sharon Martin,052-31-7853,"116 Michael Village Apt. 787
Johnview, OR 89454",Y,miles
31,Mr. James Hurst,454-51-2507,"7293 Oliver Ridges Apt. 108
Smithtown, DE 90056",N,hours
32,Dr. Zachary Payne,671-10-5978,"67444 Terry Causeway
Kellytown, AL 99923",N,miles
33,Margaret Tyler,015-16-3314,"448 Greene Corner
Klinestad, MS 80692",Y,miles
34,Kevin Smith,492-60-1711,"07350 Rich Pines
Aaronfort, MS 92606",Y,hours
35,Andrew Clark,085-40-6096,"968 Myers Meadows Apt. 731
Tylerburgh, CO 49456",Y,hours
36,John Guzman,108-30-8939,"5849 Hayes Springs Apt. 533
Heidiview, MN 04454",Y,miles
37,Dorothy Garcia,412-92-8888,"30245 Tony Isle Apt. 173
New Ricardo, LA 96740",N,miles
38,John Garcia,130-71-1090,"34497 Hogan Road Apt. 296
Lake Latasha, SD 95216",N,hours
39,Amber Cervantes,347-37-0725,"5845 Sweeney Isle Suite 453
Timothyview, PR 41165",Y,miles
40,Tara Wilson,730-78-4398,"USNV Murray
FPO AA 94747",N,hours
41,Victoria Blanchard,183-56-1867,"6122 Smith Lodge Apt. 985
Lake Kimberlymouth, IA 23751",N,hours
42,Erin Pratt,095-03-4605,"37982 Darlene Mills
Marybury, UT 87201",N,miles
